Vecka,Måndag,,,Tisdag,,,Onsdag,,,Torsdag,,,Fredag,,,Lördag,,,Söndag,,,Övrig info & event,,Kurser       Lindy /Jazz,Tid och datum,Intresserade ledare,Kommentar,,
,Datum,kl. 18.00 - 20.00,kl. 20.00 -,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.15 - 19.45,kl. 20.00 - 21.30,Datum,kl. 18.30 - 20.00,kl. 20.00 - ,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,Datum,kl. 09.00 - 14.00,kl. 14.15 - 19.15,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  *  = kan flyttas till lilla salen vid behov (om det är mindre antal anmälda och någon annan dans har fler anmälda) - Schemamöte mellan salerna 17 juni,,,,,,,,,,,,,,,,,,,,,,,Schemamöte + lindyledarutveckling tisdag 26 nov kl. 20.00 (deadline kursadmin 13 dec).,,,,,
,De lagda kurserna är endast förslag - kan flyttas runt vid behov (så länge inte alla FKA hamnar på samma veckodag t.ex.) både gällande vardagar och helg. T.ex. kan medel-kurserna också ges en helg istället för vardagar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10 feb. ,GK 1,Socialdans,11 feb.,FKB 1,Lindyledarkurs,12 feb.,FKA 1,,13 feb.,LFT,M 1  - M&J,14 feb.,AJW,AJW,15 feb.,AJW,AJW,16 feb.,AJW,AJW,Authentic Jazz Weekend,,FKA 3,Thu V17 - 22 + w/e 17,Duncan + Partner,Mentee + Duncan,,
8,17 feb. ,GK 1,Socialdans,18 feb.,FKB 1,Lindyledarkurs,19 feb.,M 2 - B2B,FKB 2,20 feb.,LFT,,21 feb.,,,22 feb.,GK 2,,23 feb.,GK 2,Lindyledarkurs,,,FKB 1,Tue  V4 - 8 + w/e 5,Kalle & Freddie,,Y (via mail direct to Anders),
9,24 feb. ,GK 2,Socialdans,25 feb.,FKA 2,MA 1 *,26 feb.,M 2 - B2B,FKB 2,27 feb.,LFT,,28 feb.,SAW,SAW,01 mars,,,02 mars,,Tedance liveband? (efter medlemsträff i lilla salen),,,FKB 2,Wed V8 - 13 + w/e V10,Love och Åsa,Extra week for FKB2 and begin 1500 - 1900,Y,
10,03 mars ,GK 2,Socialdans,04 mars,FKA 2,MA 1 *,05 mars,M 2 - B2B,FKB 2,06 mars,LFT,,07 mars,,,08 mars,,FKB 2 (Time),09 mars,,FKB 2 (Time),,,FKB 3,Tue V19 - 23 + w/e V17,Hanna & Oscar,Oscar cant weekend,,
11,10 mars ,GK 2,Socialdans,11 mars,FKA 2,MA 1 *,12 mars,M 2 - B2B,FKB 2,13 mars,LFT,,14 mars,SAW,SAW,15 mars,FKA 2,,16 mars,FKA 2,,,,M 1 - tema *,Thu V3 (late),Sofie A + Kalle (3 classes) + Sebbe (2),Jazz & Musicality,Y,
12,17 mars ,GK 2,Socialdans,18 mars,FKA 2,MA 1 *,19 mars,M 2 - B2B,FKB 2,20 mars,SIS,SIS,21 mars,SIS,SIS,22 mars,SIS,SIS,23 mars,SIS,SIS,Swingin Spring,,M 2 - tema *,Wed V8 (early),Therese & David,B2B,Y,
13,24 mars ,GK 2,Socialdans,25 mars,FKA 2,MA 1 *,26 mars,ÖH?,FKB 2,27 mars,LFT,,28 mars,ÖH? SAW?,ÖH? SAW?,29 mars,ÖH?,ÖH?,30 mars,,Lottning + antagning,,,M 3 - tema *,Tue V15 (late),,,,
,,,,,,,,,,,,,,,,,,,,,,,,M 4 - Tema *,Tue V20 (early),Hanna & Oscar,Choreo & Show,Y,
,Stora salen - VT25                                                            Stora salen - VT25                                                               Stora salen - VT25                                                     Stora salen - VT25,,,,,,,,,,,,,,,,,,,,,,,MA 1 *,Tue V9 (late),Inställd,,,
14,31 mars ,,Socialdans,01 apr.,x,,02 apr.,Solo GK,,03 apr.,LFT,,04 apr.,,,05 apr.,GK 3,,06 apr.,GK 3,,,,MA 2 *,Wed V20 (early),,,,
